columnas,count,unique,duplicate,vacios,cero,null,unique_values
role,25,1,24,0,0,44,"[nan, 20.0]"
record_version,69,5,64,0,0,0,"[4, 3, 6, 1, 2]"
suppress_reinsurance,0,0,0,0,0,69,[nan]
object_percent,0,0,0,0,0,69,[nan]
item_start_date,0,0,0,0,0,69,[nan]
item_end_date,0,0,0,0,0,69,[nan]
c01,0,0,0,0,0,69,[nan]
c02,0,0,0,0,0,69,[nan]
c03,0,0,0,0,0,69,[nan]
c04,0,0,0,0,0,69,[nan]
c05,0,0,0,0,0,69,[nan]
c06,0,0,0,0,0,69,[nan]
c07,0,0,0,0,0,69,[nan]
c08,0,0,0,0,0,69,[nan]
c09,0,0,0,0,0,69,[nan]
c10,0,0,0,0,0,69,[nan]
n01,0,0,0,0,0,69,[nan]
n02,0,0,0,0,0,69,[nan]
n03,0,0,0,0,0,69,[nan]
n04,0,0,0,0,0,69,[nan]
n05,0,0,0,0,0,69,[nan]
n06,0,0,0,0,0,69,[nan]
n07,0,0,0,0,0,69,[nan]
n08,0,0,0,0,0,69,[nan]
n09,0,0,0,0,0,69,[nan]
n10,0,0,0,0,0,69,[nan]
d01,0,0,0,0,0,69,[nan]
d02,0,0,0,0,0,69,[nan]
d03,0,0,0,0,0,69,[nan]
d04,0,0,0,0,0,69,[nan]
d05,0,0,0,0,0,69,[nan]
d06,0,0,0,0,0,69,[nan]
d07,0,0,0,0,0,69,[nan]
d08,0,0,0,0,0,69,[nan]
d09,0,0,0,0,0,69,[nan]
d10,0,0,0,0,0,69,[nan]
