columnas,count,unique,duplicate,vacios,cero,null,unique_values
c50,1,1,0,0,0,14,"[nan, 54359.0]"
responsibility_percent,1,1,0,0,0,14,"[nan, 78235.0]"
object_no,4,4,0,0,0,11,"[52793.0, nan, 53475.0, 55779.0, 55735.0]"
object_seq_no,5,5,0,0,0,10,"['76524', nan, '77207', '79717', '79674', 'IIC']"
object_id,2,2,0,0,0,13,"[76524.0, nan, 79674.0]"
item_class,5,2,3,0,0,10,"['IIC', nan, 'C1-53390002787']"
close_code,2,2,0,0,0,13,"['MAN', nan, '0000000000000000C1-53390002787']"
cla_case_no_alt,5,5,0,0,0,10,"['C1-53390002767', nan, 'C1-53390002740', 'C1-53390002792', 'C1-53390002791', 'TIA']"
cla_case_no_sort,5,5,0,0,0,10,"['0000000000000000C1-53390002767', nan, '0000000000000000C1-53390002740', '0000000000000000C1-53390002792', '0000000000000000C1-53390002791', '2023-07-17 12:52:22.000000 UTC']"
record_userid,4,3,1,0,0,11,"['OLIVET', nan, 'TIA', 'BUCHICAR']"
record_timestamp,4,4,0,0,0,11,"['2023-07-10 15:55:18.000000 UTC', nan, '2023-06-21 15:30:50.000000 UTC', '2023-11-23 14:00:01.000000 UTC', '2023-10-30 15:50:57.000000 UTC']"
scorecard_id,0,0,0,0,0,15,[nan]
scorecard_score,0,0,0,0,0,15,[nan]
investigation,0,0,0,0,0,15,[nan]
category_result,0,0,0,0,0,15,[nan]
process_name,1,1,0,0,0,14,"[nan, 3072886932.0]"
assign_profile_id,1,1,0,0,0,14,"[nan, 1.0]"
uix_seq_no,4,4,0,0,0,11,"[2708836313.0, nan, 2548950976.0, 4732813019.0, 4401375881.0]"
site_seq_no,4,1,3,0,0,11,"[1.0, nan]"
coi_agr_id,0,0,0,0,0,15,[nan]
coi_lead_case_no,0,0,0,0,0,15,[nan]
c901,0,0,0,0,0,15,[nan]
c902,0,0,0,0,0,15,[nan]
c903,0,0,0,0,0,15,[nan]
c904,0,0,0,0,0,15,[nan]
c905,0,0,0,0,0,15,[nan]
c906,0,0,0,0,0,15,[nan]
c907,0,0,0,0,0,15,[nan]
c908,0,0,0,0,0,15,[nan]
c909,0,0,0,0,0,15,[nan]
c910,0,0,0,0,0,15,[nan]
c911,0,0,0,0,0,15,[nan]
c912,0,0,0,0,0,15,[nan]
c913,1,1,0,0,0,14,"[nan, '3b39dd6c-a3e0-4d7b-8f6d-9527fc2b5d26']"
c914,0,0,0,0,0,15,[nan]
c915,4,4,0,0,0,11,"['f15d528b-0257-41c6-b7cf-e01a28440aa9', nan, '3ab55775-c565-4ac0-a6d4-db1c4467447b', '3c5d1abd-5866-4fe3-8887-698ef84d8095', '4a4ace95-2725-458b-944e-49afac4197d8']"
n901,0,0,0,0,0,15,[nan]
n902,0,0,0,0,0,15,[nan]
n903,0,0,0,0,0,15,[nan]
n904,0,0,0,0,0,15,[nan]
n905,0,0,0,0,0,15,[nan]
n906,0,0,0,0,0,15,[nan]
n907,0,0,0,0,0,15,[nan]
n908,0,0,0,0,0,15,[nan]
n909,0,0,0,0,0,15,[nan]
n910,0,0,0,0,0,15,[nan]
n911,0,0,0,0,0,15,[nan]
n912,0,0,0,0,0,15,[nan]
n913,0,0,0,0,0,15,[nan]
n914,0,0,0,0,0,15,[nan]
n915,0,0,0,0,0,15,[nan]
d901,0,0,0,0,0,15,[nan]
d902,0,0,0,0,0,15,[nan]
d903,0,0,0,0,0,15,[nan]
d904,0,0,0,0,0,15,[nan]
d905,0,0,0,0,0,15,[nan]
d906,0,0,0,0,0,15,[nan]
d907,0,0,0,0,0,15,[nan]
d908,0,0,0,0,0,15,[nan]
d909,0,0,0,0,0,15,[nan]
d910,0,0,0,0,0,15,[nan]
d911,0,0,0,0,0,15,[nan]
d912,0,0,0,0,0,15,[nan]
d913,0,0,0,0,0,15,[nan]
d914,0,0,0,0,0,15,[nan]
d915,0,0,0,0,0,15,[nan]
recovery_potential,0,0,0,0,0,15,[nan]
filed_by,3,3,0,0,0,12,"[nan, 'EMI', 'PHO', '1009072322']"
deductible,1,1,0,0,0,14,"[nan, '2023-07-18']"
row_hash,4,4,0,0,0,11,"[2639089104.0, nan, 1380531674.0, 4147591431.0, 3130146534.0]"
fecha_lote,4,4,0,0,0,11,"['2023-07-11', nan, '2023-06-22', '2023-11-24', '2023-10-31']"
